Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_200_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,230,17949.489998817,78.041260864,1.012897491,254.596262194,255,19880.847728431
Hg_200_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,341,51654.849977493,151.480498468,2.914905547,254.850638605,255,38614.573363184
Hg_200_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,333,31081.635019302,93.338243301,1.753950120,254.889469914,255,23793.163649734
Hg_200_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,73,7540.357479095,103.292568207,0.425505637,254.989726027,255,26338.128979827
Hg_200_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,76,4123.177496910,54.252335486,0.232672691,254.736668637,255,13817.334273489
Hg_200_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,179,20606.170116425,115.118268807,1.162815101,254.904565396,255,29351.547080951
Hg_200_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,175,11883.657477379,67.906614156,0.670599936,254.791987305,255,17305.105059989
Hg_200_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,159,29942.152578354,188.315425021,1.689648633,254.877382962,255,48007.558923877
Hg_200_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,179,14309.652518272,79.942192840,0.807499887,254.035254793,255,20360.581920773
Hg_200_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,237,33067.385020256,139.524831309,1.866006852,254.972052594,255,35572.922283961
Hg_200_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,255,19207.272559166,75.322637487,1.083874706,254.752905632,255,19195.020034850
Hg_200_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,269,49050.559984207,182.344089161,2.767944335,254.956969648,255,46488.130555334
Hg_200_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,288,19985.094992638,69.392690947,1.127767562,254.547825389,255,17679.424448649
Hg_200_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,228,42496.317611694,186.387357946,2.398085600,254.898722130,255,47516.962918466
Hg_200_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,244,18009.062567711,73.807633474,1.016259197,254.737761701,255,18804.167604540
Hg_200_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,246,39287.430097580,159.705000397,2.217006689,254.905288448,255,40719.081592591
Hg_200_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,247,17044.917494774,69.007763137,0.961852073,254.496016591,255,17572.117052086
Hg_200_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,160,22231.104976654,138.944406104,1.254510878,255.000000000,255,35430.823616028
Hg_200_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,186,14195.155027390,76.318037782,0.801038744,254.534739587,255,19449.514872889
Hg_200_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,145,23653.662538528,163.128707162,1.334786417,254.934596516,255,41582.959913793
Hg_200_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,154,13606.190035820,88.351883349,0.767803194,254.606706991,255,22510.141574612
Hg_200_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,192,27702.057565689,144.281549821,1.563239101,254.980236292,255,36786.744883219
Hg_200_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,199,16621.572476387,83.525489831,0.937962531,254.783136722,255,21286.006458072
